,연극명,기간,장소,개막일,폐막일,오픈런
63,러브스펠,19.05.10.~오픈런,대학로 명작극장,2019-05-10,2050-01-01,True
64,흉터 - 서울,19.06.01.~오픈런,미마지아트센터 풀빛극장,2019-06-01,2050-01-01,True
65,진짜사랑이야기 연극 러브액츄얼리 - 서울,19.09.07.~오픈런,극장 예술공장,2019-09-07,2050-01-01,True
66,#나만빼고,19.07.05.~오픈런,익스트림씨어터 2관,2019-07-05,2050-01-01,True
67,죽어야 사는 남자,19.06.29.~오픈런,업스테이지,2019-06-29,2050-01-01,True
68,소믈리에 - 부산,19.07.26.~오픈런,레몬트리소극장,2019-07-26,2050-01-01,True
69,천사들이 들려주는 사도요한,19.07.19.~오픈런,랑씨어터,2019-07-19,2050-01-01,True
70,고스트 - 서울,19.09.06.~오픈런,대학로올래홀,2019-09-06,2050-01-01,True
71,연애리플레이,19.09.10.~오픈런,세우아트센터 2관,2019-09-10,2050-01-01,True
72,운빨로맨스 - 서울,19.10.03.~오픈런,스카이씨어터 1관,2019-10-03,2050-01-01,True
